pop	lat	lon
car_28	46.313721	-122.036324
car_91	44.274483	-123.579297
car_92	45.210899	-123.758863
dav_116	42.895602	-122.092252
dav_117	43.684535	-121.265441
dav_118	42.73539	-118.633691
dav_87	42.08102	-122.718583
fru_106	46.768161	-121.674510
lya_44	48.371445	-116.156052
mon_61	44.511154	-114.374046
new_75	38.661708	-120.130671
new_80	39.880031	-121.161161
new_84	41.389587	-122.993862
new_85	41.231111	-122.382305
rup_101	47.411009	-121.092183
rup_105	46.778033	-121.760309
rup_86	41.223113	-122.379630
rup_98	47.436029	-121.778519
